timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705666380374,1040,HTTP Request,200,OK,Case2 3-1,text,true,,24021,173,2,9,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=20_27,1005,0,274
1705666386362,593,HTTP Request,200,OK,Case2 3-1,text,true,,24021,173,3,8,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=20_27,593,0,0
1705666386363,1215,HTTP Request,200,OK,Case2 3-2,text,true,,23569,170,3,8,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,1196,0,58
1705666392360,428,HTTP Request,200,OK,Case2 3-1,text,true,,24021,173,4,8,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=20_27,428,0,0
1705666392360,531,HTTP Request,200,OK,Case2 3-2,text,true,,23569,170,3,6,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,530,0,0
1705666392361,1222,HTTP Request,200,OK,Case2 3-3,text,true,,26772,173,3,6,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,1209,0,64
1705666398353,495,HTTP Request,200,OK,Case2 3-3,text,true,,23569,170,4,7,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,494,0,0
1705666398353,509,HTTP Request,200,OK,Case2 3-2,text,true,,24021,173,4,7,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=20_27,508,0,0
1705666398354,949,HTTP Request,200,OK,Case2 3-4,text,true,,26772,173,3,6,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,938,0,253
1705666404361,420,HTTP Request,200,OK,Case2 3-4,text,true,,26772,173,4,7,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,419,0,0
1705666404361,490,HTTP Request,200,OK,Case2 3-3,text,true,,24021,173,4,7,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=20_27,490,0,0
1705666404362,957,HTTP Request,200,OK,Case2 3-5,text,true,,26772,173,3,6,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,931,0,257
1705666410363,367,HTTP Request,200,OK,Case2 3-4,text,true,,23569,170,4,8,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,367,0,0
1705666410363,389,HTTP Request,200,OK,Case2 3-5,text,true,,26772,173,3,7,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,387,0,0
1705666410363,1305,HTTP Request,200,OK,Case2 3-6,text,true,,26772,173,3,6,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,1284,0,65
1705666416363,394,HTTP Request,200,OK,Case2 3-5,text,true,,23569,170,4,8,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,369,0,0
1705666416363,535,HTTP Request,200,OK,Case2 3-6,text,true,,23574,170,3,7,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,534,0,0
1705666416364,1000,HTTP Request,200,OK,Case2 3-7,text,true,,26772,173,3,6,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,986,0,255
1705666422363,398,HTTP Request,200,OK,Case2 3-7,text,true,,23569,170,4,8,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,397,0,0
1705666422363,503,HTTP Request,200,OK,Case2 3-6,text,true,,23569,170,4,7,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,503,0,0
1705666422364,1026,HTTP Request,200,OK,Case2 3-8,text,true,,26772,173,3,6,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,1019,0,267
1705666428363,451,HTTP Request,200,OK,Case2 3-8,text,true,,26772,173,4,7,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,451,0,0
1705666428363,498,HTTP Request,200,OK,Case2 3-7,text,true,,24021,173,4,7,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=20_27,497,0,0
1705666428364,1296,HTTP Request,200,OK,Case2 3-9,text,true,,26772,173,3,6,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,1280,0,66
1705666434351,441,HTTP Request,200,OK,Case2 3-8,text,true,,23569,170,3,6,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,441,0,0
1705666434352,456,HTTP Request,200,OK,Case2 3-9,text,true,,23569,170,2,4,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,455,0,0
1705666434351,1050,HTTP Request,200,OK,Case2 3-10,text,true,,26772,173,2,4,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=25_28,1028,0,257
1705666442823,467,HTTP Request,200,OK,Case2 3-9,text,true,,24021,173,2,4,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=20_27,467,0,0
1705666442823,470,HTTP Request,200,OK,Case2 3-10,text,true,,24021,173,1,3,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=20_27,468,0,0
1705666451304,416,HTTP Request,200,OK,Case2 3-10,text,true,,23569,170,1,2,https://demo.opencart.com/index.php?route=product/category&language=en-gb&path=57,415,0,0
